title,snippet,budget,job_status,category2,subcategory2,job_type,url,date_created,id,skills,client.feedback,client.reviews_count,client.jobs_posted,client.past_hires,client.country











































- AWS Celery worker improvement











































- Make changes to the UI











































- Must be familiar with AWS tools























































































Responsibilities:











































Participate in all aspects of the software development lifecycle, from design and implementation of new features through testing and response to customer feedback.











































Contribute ideas for new features and identify areas for improvement proactively.











































Communicate and collaborate effectively on a small team.











































Make a positive impact on our company culture.











































Qualifications:











































Proficiency in Python, if you know JavaScript, HTML, and CSS are a plus.











































Experience using an MVC Web framework, preferably Django.











































The ability to write clean, testable, scalable, self-documenting code.











































Passion for learning new tools and techniques to improve both the product and yourself.











































The ability to work in a fast-paced environment, to be flexible and quickly adapt.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~01309802ec35317db0,2020-02-21T20:10:22+0000,~01309802ec35317db0,database-design; django; nginx; api; database; python-script; database-maintenance; postgresql; python,4.886834582,14,29,22,United States

Time-series Analysis in Python,"Hello Developers,























































































I need you to merge two files in a dataframe and have calculated the mean value between two date for specific event that occurs. 























































































Development language: python























































































Table A: the data with time date











































Table B: the events with time date























































































For details see Screenshots























































































Thanks for your help!",30,Open,Data Science & Analytics,Quantitative Analysis,Fixed,http://www.upwork.com/jobs/~017fda499e8fcb0858,2020-02-21T20:08:30+0000,~017fda499e8fcb0858,python,4.9824130106,13,29,17,Germany

Python helper,"I'd like someone to help me with basic coding assignments in Python. I'm learning python (and python data science) by working on some basic projects, such as web scraping. While I learn, I want someone to help me with my code, fix bugs, or explain concepts. This is an intermittent job for anyone who can respond to my queries in under 24 hours and work for an hour or two at a time when I need it. It's an expecially good job for a beginner upworker looking to build their rating.























































































The upworker will need to be familiar with web scraping and data analytics with python, and be available to review code on a cloud notebook.",0,Open,Data Science & Analytics,Quantitative Analysis,Hourly,http://www.upwork.com/jobs/~010248a84bb1518683,2020-02-21T19:45:36+0000,~010248a84bb1518683,python; data-science,4.8909351366,57,149,159,United States

Python Scraping Expert,"Need an expert to do a simple scraping project must have a way to find and process free public proxies quickly























































































experience with multi-threading























































































$100",100,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~01cd929525ecea528b,2020-02-21T19:35:41+0000,~01cd929525ecea528b,scrapy-framework; python; selenium; beautiful-soup,0.0,0,2,0,United States

Senior Full Stack Developer for Web App,"We're a team of 5 developers, currently developing a web app in Python and ReactJS and we're looking for more developers to join our team.























































































The app is close to production and we're finishing on features. The position requires a full-time schedule and the service should last for a year or more.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~01b50a74087f118173,2020-02-21T18:29:07+0000,~01b50a74087f118173,vue.js; python; saas; bootstrap; javascript; angularjs; react-js; angular; ruby; git; small-10-99-employees; django-framework,0.0,0,1,0,Venezuela

looking for python with selenium developer,I am looking for python with selenium developer for daily 2 hr's work,400,Open,"Web, Mobile & Software Dev",Web Development,Fixed,http://www.upwork.com/jobs/~01c9d2fde2f7a7677d,2020-02-21T18:16:38+0000,~01c9d2fde2f7a7677d,python; selenium,0.0,0,1,0,India

Convert Pandas datatype to Python dictionary,Must be able to do this transformation in 30 mins or less via TeamViewer and Skype,5,Open,Data Science & Analytics,Data Extraction / ETL,Fixed,http://www.upwork.com/jobs/~01df73b6e3c907a5a5,2020-02-21T17:37:27+0000,~01df73b6e3c907a5a5,pandas; python; python-numpy,4.9868538797,70,188,105,United States

Python developer to create Alert system with UI for Soccer,"Creating an alert system for “goal expectation” on football matches both utilizing the historical











































data and in-play statistics . Project is already 20-30% finished ,documentation will be provided to you to estimate the costs  and time needed . 























































































Soccer/Sport knowledge is a must here .",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~01877c3025a7bba4e7,2020-02-21T17:21:12+0000,~01877c3025a7bba4e7,web-scraping; python; automation; api-integration; jupyter; ui-design,4.5863626201,66,217,123,Germany

Convert 2 strategies from MQL4 to python to be used on Interactive Broker,I have 2 strategies that have been working on MT4.  Now I want to test my strategies on stocks using Interactive Brokers.  I require someone to convert or re code to python.   Both strategies are relatively simple without complex coding.  Command of english language is a necessary assest.,0,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Hourly,http://www.upwork.com/jobs/~01d52eb76678fd5504,2020-02-21T17:17:09+0000,~01d52eb76678fd5504,python; api-integration,4.1265353522,7,8,9,United States

AWS Architecture and Cloud Infrastructure Recommendation and Strategy,"We [company] wish to engage an Amazon Web Services consultant/firm to enhance our AWS instance [COMPANY SAAS PLATFORM] and those instances that serve Company clients.  Our goal is to minimize ongoing costs, streamline delivery of software and ensure our data science team is provided the support needed to work efficiently within R and other tools used for data analysis. 



































































































































Our PLATFORM is an Angular & Python-based web application over Django with PostgreSQL and MongoDB backends and an R Server with RStudio. Source code resides in Bitbucket and TeamCity is used for CI/CD.























































































Strategic Consulting Engagement Overview 











































 











































This involves three significant changes and improvements that are described below.























































































Part 1 - Streamline provisioning of environments using Terraform











































Implement for  COMPANY SAAS PLATFORM Terraform Infrastructure-as-code (IaC).This will enable Company to create system environments (for development, test, customers, etc.) faster and in a uniform fashion. Consultant will build Terraform configurations for the environments using best practices including Terraform modules. One module will be developed for standard infrastructure, and each environment will be an implementation of that module through template files called configurations.  The module will be flexible to allow for an environment to have different or additional infrastructure. Upon completion of this work, Company will have the ability to create environments through Terraform commands and will no longer have to perform this work manually using the AWS console.



























































































































































































































Part 2 - Containerize  COMPANY SAAS PLATFORM and serve the application with Elastic Container Service (ECS)











































Consultant shall containerize The  COMPANY SAAS PLATFORM application, which will be served by the AWS Elastic Container Service.  This will increase fault tolerance and improve the probability of maintaining superior uptime.  Consultant will create a Dockerfile which is the blueprint of the  COMPANY SAAS PLATFORM application which will be used by the AWS Elastic Container Service (ECS) to serve the application. The ECS configuration will be in the Terraform module created in the first work item described above. This will reduce the effort involved in deploying the  COMPANY SAAS PLATFORM application and increase uptime by allowing the application to automatically recover from failures. Upon successful completion of this work, Company will be able to create a customer environment, including the  COMPANY SAAS PLATFORM application, using only Terraform commands.



































































































































Part 3 - Configure automatic deployments via TeamCity CI/CD pipelines











































Consultant shall enable the automatic deployments of  COMPANY SAAS PLATFORM, which will be configured to reduce the time and effort required by Company developers to deploy  COMPANY SAAS PLATFORM. Consultant will build a CI/CD pipeline in TeamCity which will build the  COMPANY SAAS PLATFORM application, run tests (if any), and deploy change to customer environments as may be required for existing client environments or to enable environments for new clients. Upon successful completion of this work, Company will be able to make a change to the  COMPANY SAAS PLATFORM application code and see it in a live environment shortly after.























































































Format of Response 











































- Experience/background











































- project timeline for each phase











































- costs for each phase and as a project























































































Summary of Project Activities and Timelines











































Date range		Kickoff and discovery











































Date range		Containerization











































Date range		Infrastructure as code











































Date range 		Functioning example of  COMPANY SAAS PLATFORM in the new environment











































Date range		CI/CD pipeline development











































Date		Demonstration of complete solution



































































































































Discovery phase











































Discovery will take place during [date range], with the goal of Consultant gaining knowledge of Company operations and the  COMPANY SAAS PLATFORM product. Consultant will meet or speak with Company engineers to discuss the topics below.",0,Open,IT & Networking,Other - IT & Networking,Hourly,http://www.upwork.com/jobs/~012e4bc00942f9079f,2020-02-21T17:09:34+0000,~012e4bc00942f9079f,cloud-computing; sql; web-services; python; terraform; angular; mongodb; django; amazon-redshift,0.0,0,5,1,United States

"Python struct of a project with blueprint, migrate, flask, sqlalchemy and oidc to keycloak(openid)","I need a struct of a project with rest using blueprint, migrate, flask and oidc to keycloak(openid) .











































What this struct need























































































* Api rest with flask blueprint and swagger











































* migrate to control db objects











































* flask to rest api











































* oidc to connect in SSO keycloak











































* models to save in db(postgres or mongo)











































* all information saved in log file (logging)























































































This a struct only, you can use lorem ipsum to create for ex.























































































Note: this project is only a skeleton/structure how these libs works together to build a flask restfull application with keycloak integration.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~0199af0e2e103deae2,2020-02-21T16:58:10+0000,~0199af0e2e103deae2,flask; software-architecture; api; database; python-script; restful-api; python,5.0,1,2,1,Brazil

"PDF , OCR and Image processing Exper",Data extraction (automated via Python) from scanned PDFs. See the example attached.,0,Open,Data Science & Analytics,Data Extraction / ETL,Hourly,http://www.upwork.com/jobs/~01eabd9692a2b3cdff,2020-02-21T16:11:55+0000,~01eabd9692a2b3cdff,data-scraping; python; python-numpy; pandas; machine-learning; data-mining,0.0,0,3,1,Hungary

Software/Data Engineer,"Software Engineers are focused on writing correct and clean code with guidance. They identify and define solutions to business requirements and develop implementations. Tasks performed include coding, testing which encompasses activities like automated unit testing, debugging, documenting and maintaining software. Can expect to work in diverse areas such as interactive web design, pagination, internal services, end-user applications, etc. To succeed they need strong communication skills, both verbal and written, including emails, JIRA, and wiki documentation. Along with this they need a good understanding of Agile concepts, specifically planning, processing and feedback so they can be a valuable teammate. Basic knowledge of the various tools and technologies used on projects is also a requirement.























































































Many of our engineers are full stack developers and will engage in both front-end UI development and back-end API and data-base development where required. A number of clear specialist tracks have been identified; mobile engineer, devops engineer, data engineer. In each of these cases the job descriptions and levels identified below remain relevant and consistent but particular specialist knowledge will also be required to be developed to progress in these tracks:























































































Data Engineer — this role will require a detailed knowledge of the application of modern database and big data technologies including the ingest of large volumes of content and data and the efficient and secure retrieval of highly targeted information for presentation to business applications. It includes skills in handling large data requests and efficiently utilizing cloud resources for data requests. They build high-performance algorithms, prototypes, predictive models and proof of concept to provide information to our various businesses.























































































Current Stack: Python, AWS S3, CloudWatch, EMR Spark, Airflow, Apache Hive (essentially SQL)











































Why Delbridge Solutions:











































As Delbridge Solutions grows, our leadership team is focused on:











































Fostering a collaborative environment because we believe that everyone here has a valuable contribution to make, that together we can develop a deeper understanding of our position in the market and the needs of our clients.











































Recognizing our people through quarterly rewards, performance bonuses and accelerated career paths. Whether you want to move up in Professional Services, across to Project Management, or Solution Architect, Delbridge Solutions wants to give you the chance to prove yourself — and we will recognize and rewards your efforts.











































If you want to join a fast-growing company that pivots based on market demand, Delbridge Solutions would love to start a conversation and learn more about you.











































Delbridge Solutions welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.



































































































































Responsibilities:











































• Assists in necessary software investigation, analysis and evaluation to determine solution feasibility.











































• Develops their productivity skills by learning source control, editors, the build system, and other tools as well as testing best practices











































• Capable of taking well-defined sub-tasks and completing these tasks.











































• Develops knowledge of a single component of our architecture











































• Develops module specifications and supports data design.











































• Participates in business analysis, systems analysis/consulting, and systems design.











































• Makes use of application development standards for designing, building and maintaining applications, applications components, and common services including the use of standard languages and tools",4000,Open,Data Science & Analytics,Data Mining & Management,Fixed,http://www.upwork.com/jobs/~014154da24ad4ff780,2020-02-21T16:06:55+0000,~014154da24ad4ff780,python; apache-hive; apache-spark; aws-application,0.0,0,3,0,Canada

Create a python webscraping tool,I will provide a list of part numbers and websites.  You will provide a  python tool that returns the price for each part number on each website.,0,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Hourly,http://www.upwork.com/jobs/~01543a888c05d7f77c,2020-02-21T16:02:18+0000,~01543a888c05d7f77c,web-scraping; python; data-extraction; automation; data-mining,4.9188658486,49,72,67,United States

Python Developer,"I need help writing a python script that invokes a separate file containing SPARQL query iteratively and runs it with python using the library rdflib. End product should be code, and  a separate file containing the transformations made in the sparql query in the graph.























































































Person should be familiar with RDF, SPARQL, python, and semantic technology.",50,Open,Data Science & Analytics,Data Extraction / ETL,Fixed,http://www.upwork.com/jobs/~0147ec523b4c7344d0,2020-02-21T15:11:27+0000,~0147ec523b4c7344d0,python; rdf; sparql,0.0,0,2,1,United States

Developer required for the implementation of AI Based IVR Integration API in existing Chatbot,Developer required for the implementation of AI Based IVR Integration API in existing Chatbot - created via Python (mandatory skill),100,Open,"Web, Mobile & Software Dev",Web Development,Fixed,http://www.upwork.com/jobs/~01c3ebbf229a6ee850,2020-02-21T15:00:38+0000,~01c3ebbf229a6ee850,api; python,5.0,6,25,10,India

Developer required for implementation of Zoom Conference - Create/Schedule Meeting API`s in Chatbot,"Developer required for the implementation of Zoom Conference - Create/Schedule Meeting, API in existing Chatbot - created via Python (mandatory skill)",100,Open,"Web, Mobile & Software Dev",Mobile Development,Fixed,http://www.upwork.com/jobs/~01d1fcfe802f0c4d7e,2020-02-21T14:55:23+0000,~01d1fcfe802f0c4d7e,python; zoom-video-conferencing,5.0,6,25,10,India

"Data collection from Betfair API, Python/JSON parsing","I would like a Python script to collect the betting odds from Betfair API that are 5 minutes before each England football match.























































































This will be collected using the historical betfair API











































1.  Go to the website https://historicdata.betfair.com/#/home











































2.  Select Basic plan + Soccer











































3.  The output from the (1) above will be a file with JSON objects in tar format.  Please uncompress this.











































4.  Chose a 5 day sample period, for example Oct 1, 2019 to Oct 6, 2019, and collect all data for this period.











































5.  Python script should output every match and the odds of winning for both teams 5 minutes before the match.























































































Desired output would be a CSV file with all games over this period.











































Date, Time, Team_A_Name, Odds_A_Win, Team_B_Name, Odds_B_Win, Odds_Draw











































2018.10.01, 14:05:00 GMT, Manchester United, 3.25, Southampton, 1.25, 2.25























































































The Betfair API Json files and structure is quite complex.  This job would be ideal for someone who has worked with the Betfair historical data before, as it will take some time to understand how it works.  Please let me know if you have used it before?",300,Open,Data Science & Analytics,Data Extraction / ETL,Fixed,http://www.upwork.com/jobs/~015c0b3b9bad19f54a,2020-02-21T13:48:34+0000,~015c0b3b9bad19f54a,pandas; data-scraping; python; data-extraction,5.0,4,4,4,United Kingdom

Proffesional Php or Python Developers needed to fetch twitter posts in real time.,"I need a program in php or python which can work on server to fetch twitter posts from an indicated Country.























































































The fetched data need to be saved into DB.























































































If you think you can do it with my budget please inform me for the details of the project.",300,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~013d127f41e5c91e7a,2020-02-21T13:19:32+0000,~013d127f41e5c91e7a,python; javascript; data-extraction; php; mysql; automation; scripting,4.7485207101,35,55,41,Japan

python smtp,"I need a python script that retrieves some data locally (email address, smtp server ip address, subject, body mail (either text or html) and other info needed to send an email) and send it to a remote exim smtp server to send the mail. the script should ask the user the sending rate. This is a very easy script!",65,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~010d937e6e85db5b26,2020-02-21T12:24:13+0000,~010d937e6e85db5b26,scripting; python-script,5.0,2,5,2,France

Python Developer / React Native - Dedicated long term,"Looking for an experienced, high skilled react native/python developer who can maintain, consult our projects, develop new features, bug fixes in dedicated long term basis.























































































You will be working with talented guys in a great team. You should be creative, talented, responsible and have good communication skills. You should write clean, efficient, well-documented codes. Should be able to start immediately.























































































Ideally hiring one full stack developer who are expertise both in Python and React Native but we are open to hire several developers respectively for each stack. We're looking for a real expert!























































































You'll work on this project as full-time 30+hrs if you're full stack and part time if not. I'll share the details of the task in interview.























































































Thanks",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~01a9feb08151db01d8,2020-02-21T12:12:49+0000,~01a9feb08151db01d8,database-architecture; amazon-web-services; website-development; vue.js; python; web-application; css; api; database-design; javascript; react-js; react-native; css3; git; mobile-app-development; mongodb; html5,5.0,2,9,6,United States

Python Scripts for  Reading and Processing Automatically Emails,"Write a python script that can read an MBOX file and create a panda frame according to the below specifications. Note the panda dataframe can be stored and reloaded with no problem (even if there is a ‘,’ or ‘;’ in the data).





















































































The final aim is to build a new generation of smart mailer and crawler, developed by raisin.ai. This is a first step of a several steps project.





















































































We are looking for a reliable developer to support its development. 





















































































It is encouraged to ask for clarification, to propose an amendment to the specification, to recommend tools or api, etc… 




















































































